nsites,chemsys,volume,density,density_atomic,energy_per_atom,formation_energy_per_atom,is_stable,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units
10,Al-Ce-O,106.8926141185251,6.6828728991216835,10.68926141185251,-8.524981815,-3.6171184414999984,False,0.0,,,10.61943981,False,True,True,FM,2.0,0.01871036662815966,1.0
10,Al-Ce-O,106.62207029006254,6.699830082698576,10.662207029006254,-8.520020075000001,-3.6121567014999996,False,0.0,,,10.48681647,False,True,True,FM,2.0,0.018757842485697875,1.0
5,Al-Ce-O,53.243562933991896,6.708320355031181,10.648712586798379,-8.508505242,-3.6006418684999986,False,0.0,,,10.30433035,False,True,True,FM,1.0000001,0.018781614995219964,1.0000001
20,Al-Ce-O,218.92352138921584,6.526021045851421,10.946176069460792,-8.522544917000001,-3.6146815434999993,False,0.0,,,10.22857236,False,True,True,FM,4.0000001,0.018271221267670692,1.000000025
10,As-Ce-O,140.19995683687966,6.230832471975322,14.019995683687966,-15.220413730333338,-2.534391465833336,False,0.060900000000000176,7.6866,7.6257,7.6565149,False,False,True,FM,2.0,0.014265339627222332,1.0
40,As-Ce-O,582.7221069567656,5.996425625181105,14.56805267391914,-15.293431538583338,-2.6074092740833366,False,0.28609999999999935,7.3191,7.033,7.05854567,True,False,False,NM,4.3995096,0.007549927396741817,0.5499387
10,B-Ce-O,124.84650887509292,5.291666846074192,12.484650887509293,-14.520604363,-3.3068174565000006,False,0.029300000000000104,6.9524,6.9231,6.93984291,False,False,True,FM,2.0,0.016019671018602293,1.0
20,B-Ce-O,240.9429887520787,5.483837776597158,12.047149437603935,-14.526477975,-3.3126910685,True,0.058699999999999974,7.3661,7.3074,7.33696603,False,False,True,FM,4.0000001,0.016601438044399168,1.000000025
5,B-Ce-Pd,84.09128433161773,9.284718247713721,16.818256866323544,-21.917328916333332,-0.5036601588333326,False,0.0,,,6.6209927,False,True,True,FM,0.8183758,0.009731993113254145,0.8183758
5,B-Ce-Pt,82.20577785631383,14.870657773559776,16.441155571262765,-39.518281412,-0.9882546805000004,True,0.0,,,8.16854071,False,True,True,FM,0.9056964,0.011017429961955379,0.9056964
5,B-Ce-Rh,74.69804230192618,10.217884765623579,14.939608460385235,-22.919038982,-0.7999052124999991,True,0.0,,,7.58051223,False,True,True,FM,0.1962417,0.002627133107542494,0.1962417
20,B-Ce-S,415.117647879931,3.954115054487078,20.75588239399655,-6.523589921999999,-1.517305853333331,False,0.07869999999999955,6.2283,6.1496,6.18864505,False,False,True,FM,3.9999998,0.009635822086650874,0.99999995
5,Al-Be-Ce,91.78367762064714,4.162448910446795,18.356735524129427,-4.49561226,-0.3129942149999991,False,0.0,,,7.14891459,False,True,True,FM,0.9203017,0.010026855796775942,0.9203017
5,Be-Ce-O,46.67338151802652,7.013334961429547,9.334676303605303,-8.082590292,-3.1759595114999994,False,0.8093999999999992,7.9445,7.1351,7.19773366,False,False,False,NM,4.5e-06,9.641469834925029e-08,4.5e-06
20,Cd-Ce-O,305.7288508020773,6.529103599984977,15.286442540103867,-16.3435961445,-2.5780825394999995,False,1.5446999999999997,4.1586,2.6139,2.61392602,False,False,False,NM,0.0005533,1.8097735903838371e-06,0.000138325
5,Ce-Co-Ge,90.32500476614855,7.665580972388106,18.06500095322971,-5.958657667999999,-0.5707676369999988,True,0.0,,,7.85359863,False,True,True,FiM,0.9140908,0.01012001939403802,0.9140908
